日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2024-03-06,1.2144492,1.5525756,1.8339696,1.7403984,1.2183048,1.0604196,0.39933,0.5927256,0.3440232,0.7064172
2024-03-07,1.2221928,1.6147188,1.768716,1.6855128,1.23363,1.15344,0.3770064,0.6052644,0.36936,0.6945264
2024-03-08,1.4560884,1.8279756,2.177442,1.95858,1.706184,1.5127236,0.4596912,0.8239644,0.53136,0.8586648
2024-03-09,1.744416,2.0024496,2.0209176,1.8358812,2.1814596,1.70343,0.4776084,0.9771192,0.5969376,1.0177812
2024-03-10,1.5505344,1.8276516,1.9310724,1.9761732,1.686582,1.283688,0.3862404,0.7401132,0.4510728,0.7045704
2024-03-11,1.5389676,1.945458,1.932822,1.9842408,1.6087896,1.258092,0.45846,0.7447788,0.4325076,0.6722352
2024-03-12,1.4097888,1.7953488,1.9526508,1.938654,1.3769676,1.1871684,0.4333824,0.6544476,0.4099896,0.7436772
2024-03-13,1.3404852,1.7259804,1.8764136,1.8236664,1.29357,1.1193552,0.4265136,0.6168636,0.4061988,0.74925
2024-03-14,1.3660164,1.7454852,1.8579456,1.811322,1.3458312,1.1339352,0.4390848,0.6519204,0.4146552,0.6855192
2024-03-15,1.5489792,1.9175616,2.1632184,2.2161924,1.7778204,1.3670856,0.557766,0.9060336,0.555012,0.804006
2024-03-16,1.8865548,2.1648708,2.0399364,2.0212092,2.4469776,1.5638184,0.7547904,1.130922,0.6911244,1.0938888
2024-03-17,1.5968988,2.0171268,1.902042,2.0916792,1.8751824,1.3718484,0.6342948,0.7990164,0.525852,0.8648856
2024-03-18,1.5019668,1.902366,2.102274,2.1210012,1.5783012,1.3043268,0.5722488,0.732888,0.4927068,0.7901388
